playlist_name,playlist_last_modified,added_date,track_name,artist_name,album_name,track_uri,track_key
"Volume up ,logic down",2026-06-15,2026-04-23,Gas Pedal,Sage The Gemini,Remember Me,spotify:track:1UMKquW1olreYO1LlLmTqi,sage the gemini - gas pedal
"Volume up ,logic down",2026-06-15,2026-04-23,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,Flockaveli,spotify:track:03tqyYWC9Um2ZqU0ZN849H,waka flocka flame - no hands (feat. roscoe dash & wale)
"Volume up ,logic down",2026-06-15,2026-04-23,Freek-A-Leek,Petey Pablo,Still Writing In My Diary: 2nd Entry,spotify:track:4UNhyW0R7qylxrF6Z0q2Tb,petey pablo - freek-a-leek
"Volume up ,logic down",2026-06-15,2026-04-23,Up Down (Do This All Day) (feat. B.o.B),T-Pain,Happy Hour: The Greatest Hits,spotify:track:6lbhWl34Il0WXm5pX1fM9E,t-pain - up down (do this all day) (feat. b.o.b)
"Volume up ,logic down",2026-06-15,2026-04-23,Just A Lil Bit,50 Cent,The Massacre,spotify:track:4nva9EpKntUTs6CRSGBCn9,50 cent - just a lil bit
"Volume up ,logic down",2026-06-15,2026-04-23,"My Neck, My Back (Lick It)",Khia,Thug Misses,spotify:track:4hMB4hoIBitJLpgad18J6T,"khia - my neck, my back (lick it)"
"Volume up ,logic down",2026-06-15,2026-04-23,SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSounds,spotify:track:0O45fw2L5vsWpdsOdXwNAR,justin timberlake - sexyback (feat. timbaland)
"Volume up ,logic down",2026-06-15,2026-04-23,Watch Me Now! (with NLE Choppa),Ndotz,Watch Me Now! (with NLE Choppa),spotify:track:1hoEI997iy6tutEfF5a9M6,ndotz - watch me now! (with nle choppa)
"Volume up ,logic down",2026-06-15,2026-04-23,I Don't Fuck With You,Big Sean,Dark Sky Paradise,spotify:track:7FYH5AW3bVfZHJIQpq3UOA,big sean - i don't fuck with you
"Volume up ,logic down",2026-06-15,2026-04-23,Swagg Talk,D4M $loan,Swagg Talk,spotify:track:3uGoSNkxwxEgoxhaYkF6F9,d4m $loan - swagg talk
"Volume up ,logic down",2026-06-15,2026-04-23,Breathe,W. AVE,House Parties,spotify:track:3HWWpvOckCUKe1mpWU4juB,w. ave - breathe
"Volume up ,logic down",2026-06-15,2026-04-23,Make It Move!,Spiffy The Goat,Anthems For You 2,spotify:track:3wLGGrm2TdyyW7ByXHZLE8,spiffy the goat - make it move!
"Volume up ,logic down",2026-06-15,2026-04-23,Dick (feat. Doja Cat),StarBoi3,Dick (feat. Doja Cat),spotify:track:3nY8AqaMNNHHLYV4380ol0,starboi3 - dick (feat. doja cat)
"Volume up ,logic down",2026-06-15,2026-04-23,Cmonnn (Hit It One Time) (Pt. 2) (feat. Lay Bankz),5Star,Cmonnn (Hit It One Time),spotify:track:04KXmuiwhHwhcOUPy8Jcuw,5star - cmonnn (hit it one time) (pt. 2) (feat. lay bankz)
"Volume up ,logic down",2026-06-15,2026-04-23,Walk Em Like a Dog,Saucy Santana,Imma Celebrity,spotify:track:3MyiuGP39OUPKeJJawOEDA,saucy santana - walk em like a dog
"Volume up ,logic down",2026-06-15,2026-04-23,Thong Song,Sisqo,Unleash The Dragon,spotify:track:5Mmk2ii6laakqfeCT7OnVD,sisqo - thong song
"Volume up ,logic down",2026-06-15,2026-04-23,Strut,Ayanna Ife,Strut,spotify:track:0KpIXnC0uUnlGZDhwISGzc,ayanna ife - strut
"Volume up ,logic down",2026-06-15,2026-04-23,Bust It Open,Lil Wil,"Dolla$, TX",spotify:track:7dJTX26gYEl9eYwSN44IbL,lil wil - bust it open
"Volume up ,logic down",2026-06-15,2026-04-23,Get It Sexyy,Sexyy Red,In Sexyy We Trust,spotify:track:6UmKnXmG7VmYqFnmSPOfRj,sexyy red - get it sexyy
"Volume up ,logic down",2026-06-15,2026-04-23,Throw Dat Ass in a Circle,Lil Ronny Motha F,Throw Dat Ass in a Circle,spotify:track:6arUg3K5HihTtKjJxY8BhQ,lil ronny motha f - throw dat ass in a circle
"Volume up ,logic down",2026-06-15,2026-05-13,Sex Talk,D4M $loan,I Couldn't Decide,spotify:track:0X2eq8W4o9qLoOAMil6Hce,d4m $loan - sex talk
"Volume up ,logic down",2026-06-15,2026-06-15,Flo Jackson,Flo Milli,Flo Jackson,spotify:track:4fwJzG3arwvfC1ZbRdracJ,flo milli - flo jackson
"Volume up ,logic down",2026-06-15,2026-06-15,Spend Dat,Yung Miami,Spend Dat,spotify:track:0LWIiBYFmOnkqysugp0VKo,yung miami - spend dat
"Volume up ,logic down",2026-06-15,2026-06-15,"Take it off ""Lights off""",Chef Boy,I AM SUMMER,spotify:track:00lLJikmES6qH5XpWMi9FX,"chef boy - take it off ""lights off"""
✨Russian ✨,2026-04-23,2025-10-23,так не спокойна,Isko,так не спокойна,spotify:track:22X6xLOk4dqG1eD5tmsLrQ,isko - так не спокойна
✨Russian ✨,2026-04-23,2026-04-23,Любовь в ресторане,Isko,Любовь в ресторане,spotify:track:2HvBmepfNc5LJJAuNQ6LC2,isko - любовь в ресторане
✨Russian ✨,2026-04-23,2026-04-23,Моя душа,Isko,Моя душа,spotify:track:3f0pMCCKEDPA7gOH8FDPho,isko - моя душа
